Date,Team,Acquired,Relinquished,Notes
2020-03-01,Cavaliers,,• Darius Garland,placed on IL with strained left groin (out for season)
2020-03-01,Lakers,• Danny Green,,activated from IL
2020-03-01,Mavericks,,• Luka Doncic,placed on IL with sprained left thumb
2020-03-01,Nuggets,,• Paul Millsap,placed on IL with sprained right ankle
2020-03-01,Raptors,,• Oshae Brissett,placed on IL
2020-03-01,Raptors,• Fred VanVleet,,activated from IL
2020-03-01,Wizards,• Anzejs Pasecniks,,activated from IL
2020-03-02,Blazers,,• Damian Lillard,placed on IL with strained right groin
2020-03-02,Bucks,• Khris Middleton,,activated from IL
2020-03-02,Bulls,,• Zach LaVine,placed on IL with strained left quadriceps (out for season)
2020-03-02,Bulls,• Otto Porter Jr.,,activated from IL
2020-03-02,Magic,,• Aaron Gordon,placed on IL with right knee inflammation
2020-03-02,Mavericks,,• Seth Curry,placed on IL with tightness in lower back
2020-03-02,Mavericks,• Luka Doncic,,activated from IL
2020-03-02,Pacers,,• Victor Oladipo,placed on IL with sore right knee
2020-03-02,Spurs,,• Jakob Poeltl,placed on IL with sprained MCL in right knee
2020-03-02,Thunder,• Danilo Gallinari,,activated from IL
2020-03-03,76ers,,• Josh Richardson,placed on IL with concussion
2020-03-03,Celtics,,• Jayson Tatum,placed on IL with illness
2020-03-03,Celtics,• Kemba Walker,,activated from IL
2020-03-03,Hornets,,• Devonte' Graham,placed on IL with sore left ankle
2020-03-03,Lakers,,• Alex Caruso,placed on IL with right hamstring injury
2020-03-03,Nuggets,• Paul Millsap,,activated from IL
2020-03-03,Raptors,,• Fred VanVleet,placed on IL with left shoulder injury
2020-03-03,Raptors,• Dewan Hernandez,,activated from IL
2020-03-03,Spurs,,• Marco Belinelli,placed on IL with illness
2020-03-03,Thunder,,• Isaiah Roby,placed on IL right foot injury (out for season)
2020-03-03,Warriors,,• Ky Bowman,placed on IL with sprained right ankle
2020-03-04,Blazers,• Damian Lillard,,activated from IL
2020-03-04,Bucks,,• D.J. Wilson,placed on IL
2020-03-04,Bucks,,• George Hill,placed on IL with groin injury
2020-03-04,Bulls,• Lauri Markkanen,,activated from IL
2020-03-04,Celtics,,• Gordon Hayward,placed on IL with bruised right knee
2020-03-04,Celtics,,• Jaylen Brown,placed on IL with strained right hamstring
2020-03-04,Celtics,• Jayson Tatum,,activated from IL
2020-03-04,Knicks,,• Mitchell Robinson,placed on IL with left hamstring injury
2020-03-04,Knicks,• Reggie Bullock,,activated from IL
2020-03-04,Magic,• Aaron Gordon,,activated from IL
2020-03-04,Mavericks,,• Jose Juan Barea / Jose Barea / J.J. Barea,placed on IL with sore right ankle
2020-03-04,Mavericks,• Seth Curry,,activated from IL
2020-03-04,Nets,,• Garrett Temple,placed on IL with sprained left ankle
2020-03-04,Pistons,,• Bruce Brown,placed on IL with sore left knee
2020-03-04,Pistons,,• Derrick Rose,placed on IL with sprained right ankle (out for season)
2020-03-04,Warriors,• Stephen Curry,,activated from IL
2020-03-05,Cavaliers,,• Kevin Porter Jr.,placed on IL with concussion (out for season)
2020-03-05,Hornets,• Devonte' Graham,,activated from IL
2020-03-05,Nuggets,• Noah Vonleh,,activated from IL
2020-03-05,Raptors,,• Dewan Hernandez,placed on IL with sprained right ankle
2020-03-05,Raptors,• Serge Ibaka,,activated from IL
2020-03-05,Warriors,,• Kevon Looney,placed on IL with sore left hip
2020-03-06,Bucks,• Kyle Korver,,activated from IL
2020-03-06,Celtics,,• Tremont Waters,placed on IL with sprained left knee
2020-03-06,Hawks,,• Trae Young,placed on IL with flu
2020-03-06,Hawks,• Dewayne Dedmon,,activated from IL
2020-03-06,Heat,,• Gabe Vincent,placed on IL
2020-03-06,Knicks,• Mitchell Robinson,,activated from IL
2020-03-06,Lakers,• Alex Caruso,,activated from IL
2020-03-06,Magic,,• Evan Fournier,placed on IL with sprained right elbow
