Rk,Player,Pos,Age,Team,G,MP,,FG,2P,3P,eFG,FT,TS,FTr,3PAr,,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,,FG Add,TS Add,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,,,
1,Precious Achiuwa\achiupr01,C,22,TOR,46,1071,,.421,.447,.291,.445,.569,.462,.214,.163,,92,85,83,85,74,83,89,41,,-54.5,-71.6
2,Steven Adams\adamsst01,C,28,MEM,54,1397,,.541,.541,,.541,.567,.561,.556,.000,,119,103,,103,73,100,231,,,8.0,.9
3,Bam Adebayo\adebaba01,C,24,MIA,32,1057,,.527,.531,.000,.527,.767,.583,.441,.007,,116,101,,100,99,104,183,2,,.8,23.8
4,Santi Aldama\aldamsa01,PF,21,MEM,27,277,,.381,.569,.103,.402,.600,.425,.206,.402,,84,108,29,76,78,76,86,100,,-24.0,-28.4
5,LaMarcus Aldridge\aldrila01,C,36,BRK,36,825,,.555,.582,.316,.571,.853,.601,.182,.102,,122,110,90,109,110,107,76,25,,33.7,33.0
6,Nickeil Alexander-Walker\alexani01,SG,23,TOT,51,1318,,.375,.434,.311,.450,.722,.474,.153,.483,,82,82,89,86,93,85,64,120,,-95.8,-116.1
7,Nickeil Alexander-Walker\alexani01,SG,23,NOP,50,1317,,.375,.434,.311,.450,.722,.474,.153,.483,,82,82,89,86,93,85,64,120,,-95.8,-116.1
8,Nickeil Alexander-Walker\alexani01,SG,23,UTA,1,1,,,,,,,,,,,,,,,,,,,,.0,.0
9,Grayson Allen\allengr01,SG,26,MIL,47,1323,,.427,.500,.393,.561,.857,.582,.126,.681,,94,95,112,107,111,104,52,170,,30.9,21.4
10,Jarrett Allen\allenja01,C,23,CLE,49,1597,,.665,.676,.100,.666,.700,.687,.438,.021,,146,128,29,127,91,123,182,5,,135.8,147.2
11,Jose Alvarado\alvarjo01,PG,23,NOP,29,373,,.434,.512,.321,.500,.696,.520,.169,.412,,95,97,92,95,90,93,70,103,,-7.1,-11.5
12,Justin Anderson\anderju01,SF,28,TOT,6,77,,.316,.750,.200,.395,.857,.476,.368,.789,,69,142,57,75,111,85,153,197,,-5.0,-3.7
13,Justin Anderson\anderju01,SF,28,CLE,3,47,,.500,1.000,.333,.625,.750,.666,.500,.750,,110,190,95,119,97,119,208,187,,1.6,2.1
14,Justin Anderson\anderju01,SF,28,IND,3,30,,.182,.500,.111,.227,1.000,.325,.273,.818,,40,95,32,43,129,58,113,204,,-6.6,-5.8
15,Kyle Anderson\anderky01,PF,28,MEM,45,998,,.435,.467,.333,.475,.653,.499,.222,.241,,95,89,95,90,84,89,92,60,,-32.8,-43.1
16,Giannis Antetokounmpo\antetgi01,PF,27,MIL,47,1528,,.541,.605,.298,.572,.718,.623,.606,.210,,119,115,85,109,93,111,252,52,,79.3,139.2
17,Thanasis Antetokounmpo\antetth01,SF,29,MIL,34,355,,.477,.533,.091,.483,.625,.507,.279,.128,,105,101,26,92,81,91,116,32,,-7.5,-10.1
18,Carmelo Anthony\anthoca01,PF,37,LAL,50,1327,,.437,.496,.392,.548,.824,.583,.227,.565,,96,94,112,104,107,104,94,141,,22.8,26.9
19,Cole Anthony\anthoco01,PG,21,ORL,44,1466,,.395,.437,.338,.467,.851,.519,.269,.426,,87,83,97,89,110,93,112,106,,-79.9,-60.5
20,OG Anunoby\anunoog01,SF,24,TOR,40,1486,,.439,.507,.356,.519,.743,.542,.170,.449,,96,96,102,99,96,97,71,112,,-8.1,-23.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Trevor Ariza\arizatr01,SF,36,LAL,19,366,,.352,.462,.328,.486,.583,.498,.169,.817,,77,88,94,92,76,89,70,204,,-5.7,-9.4
22,D.J. Augustin\augusdj01,PG,34,HOU,34,510,,.404,.400,.406,.548,.868,.596,.279,.706,,89,76,116,104,112,106,116,176,,5.9,11.1
23,Deni Avdija\avdijde01,SF,21,WAS,55,1266,,.442,.556,.303,.510,.750,.542,.234,.453,,97,105,87,97,97,97,97,113,,-10.7,-13.2
24,Joel Ayayi\ayayijo01,SG,21,WAS,7,20,,.167,.200,.000,.167,,.167,.000,.167,,37,38,,32,,30,,42,,-4.3,-4.7
25,Deandre Ayton\aytonde01,C,23,PHO,35,1018,,.645,.654,.250,.648,.722,.665,.249,.021,,142,124,72,123,93,119,104,5,,94.8,90.9
