Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Precious Achiuwa\achiupr01,C,22,TOR,46,1071,11.8,.462,.163,.214,10.0,23.2,16.3,7.0,1.1,2.6,11.1,16.6,,0.1,1.2,1.3,.058,,-2.6,-0.7,-3.3,-0.4
2,Steven Adams\adamsst01,C,28,MEM,54,1397,17.7,.561,.000,.556,17.9,21.1,19.4,15.6,1.7,2.4,20.2,12.4,,2.7,1.9,4.6,.158,,1.1,0.6,1.6,1.3
3,Bam Adebayo\adebaba01,C,24,MIA,32,1057,20.6,.583,.007,.441,9.5,24.8,17.2,17.5,2.4,1.9,15.6,25.5,,1.7,2.0,3.6,.165,,1.1,1.9,3.0,1.3
4,Santi Aldama\aldamsa01,PF,21,MEM,27,277,8.5,.425,.402,.206,8.6,15.8,12.1,6.7,0.3,2.3,7.8,17.1,,-0.1,0.2,0.2,.026,,-4.6,-2.0,-6.6,-0.3
5,LaMarcus Aldridge\aldrila01,C,36,BRK,36,825,20.3,.601,.102,.182,7.2,18.9,13.2,6.2,0.8,4.2,7.4,22.8,,1.6,0.8,2.4,.141,,1.5,-0.7,0.8,0.6
6,Nickeil Alexander-Walker\alexani01,SG,23,TOT,51,1318,10.8,.474,.483,.153,2.9,11.0,6.9,17.0,1.5,1.4,11.2,24.9,,-1.0,0.8,-0.2,-0.008,,-1.5,-1.6,-3.1,-0.4
6,Nickeil Alexander-Walker\alexani01,SG,23,NOP,50,1317,10.8,.474,.483,.153,2.9,11.0,6.9,17.0,1.5,1.4,11.2,24.9,,-1.0,0.8,-0.2,-0.008,,-1.5,-1.6,-3.1,-0.4
6,Nickeil Alexander-Walker\alexani01,SG,23,UTA,1,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.006,,-5.9,-2.4,-8.3,0.0
7,Grayson Allen\allengr01,SG,26,MIL,47,1323,13.1,.582,.681,.126,2.1,10.6,6.5,7.6,1.4,1.1,5.6,16.1,,2.0,1.1,3.1,.113,,0.6,-0.2,0.4,0.8
8,Jarrett Allen\allenja01,C,23,CLE,49,1597,23.2,.687,.021,.438,12.5,24.1,18.5,8.8,1.2,3.7,12.8,18.3,,5.0,3.1,8.0,.242,,2.7,1.3,4.0,2.4
9,Jose Alvarado\alvarjo01,PG,23,NOP,29,373,16.1,.520,.412,.169,2.6,10.0,6.2,24.1,4.0,0.8,7.6,18.3,,0.5,0.4,1.0,.125,,-0.6,2.4,1.8,0.4
10,Justin Anderson\anderju01,SF,28,TOT,6,77,8.4,.476,.789,.368,2.8,11.1,7.1,15.6,1.3,1.1,12.0,14.2,,0.0,0.1,0.1,.065,,-3.9,-0.4,-4.3,0.0
10,Justin Anderson\anderju01,SF,28,CLE,3,47,10.9,.666,.750,.500,0.0,13.4,6.9,17.3,1.1,0.0,17.0,11.0,,0.1,0.1,0.1,.140,,-2.9,0.4,-2.6,0.0
10,Justin Anderson\anderju01,SF,28,IND,3,30,4.6,.325,.818,.273,7.3,7.5,7.4,13.0,1.6,2.9,7.5,19.1,,-0.1,0.0,0.0,-0.053,,-5.5,-1.6,-7.0,0.0
11,Kyle Anderson\anderky01,PF,28,MEM,45,998,14.3,.499,.241,.222,4.5,21.4,12.8,16.1,2.4,2.5,11.7,16.7,,0.7,1.6,2.2,.107,,-0.9,1.6,0.7,0.7
12,Giannis Antetokounmpo\antetgi01,PF,27,MIL,47,1528,31.8,.623,.210,.606,6.1,29.7,18.2,34.0,1.4,4.3,12.5,35.1,,6.4,2.7,9.1,.286,,7.5,3.5,11.0,5.1
