Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa\achiupr01,C,22,TOR,46,23,23.3,3.1,7.3,.421,0.3,1.2,.291,2.7,6.1,.447,.445,0.9,1.6,.569,2.2,4.7,7.0,1.2,0.5,0.6,1.0,2.0,7.4
2,Steven Adams\adamsst01,C,28,MEM,54,53,25.9,2.7,5.0,.541,0.0,0.0,,2.7,5.0,.541,.541,1.6,2.8,.567,4.5,5.1,9.6,3.2,0.9,0.7,1.6,1.8,7.0
3,Bam Adebayo\adebaba01,C,24,MIA,32,32,33.0,7.1,13.4,.527,0.0,0.1,.000,7.1,13.3,.531,.527,4.5,5.9,.767,2.8,7.3,10.1,3.5,1.6,0.6,3.0,3.1,18.7
4,Santi Aldama\aldamsa01,PF,21,MEM,27,0,10.3,1.4,3.6,.381,0.1,1.4,.103,1.2,2.1,.569,.402,0.4,0.7,.600,0.9,1.5,2.4,0.5,0.1,0.3,0.3,1.0,3.3
5,LaMarcus Aldridge\aldrila01,C,36,BRK,36,11,22.9,5.8,10.4,.555,0.3,1.1,.316,5.4,9.3,.582,.571,1.6,1.9,.853,1.5,4.1,5.6,0.9,0.4,1.1,0.9,1.8,13.4
6,Nickeil Alexander-Walker\alexani01,SG,23,TOT,51,19,25.8,4.6,12.4,.375,1.9,6.0,.311,2.8,6.4,.434,.450,1.4,1.9,.722,0.7,2.5,3.2,2.7,0.8,0.4,1.7,1.7,12.5
6,Nickeil Alexander-Walker\alexani01,SG,23,NOP,50,19,26.3,4.7,12.6,.375,1.9,6.1,.311,2.8,6.5,.434,.450,1.4,1.9,.722,0.7,2.6,3.3,2.8,0.8,0.4,1.7,1.8,12.8
6,Nickeil Alexander-Walker\alexani01,SG,23,UTA,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Grayson Allen\allengr01,SG,26,MIL,47,46,28.1,4.0,9.5,.427,2.5,6.4,.393,1.5,3.0,.500,.561,1.0,1.2,.857,0.6,2.9,3.4,1.5,0.8,0.3,0.6,1.4,11.6
8,Jarrett Allen\allenja01,C,23,CLE,49,49,32.6,6.6,9.9,.665,0.0,0.2,.100,6.6,9.7,.676,.666,3.0,4.3,.700,3.6,7.5,11.1,1.8,0.8,1.3,1.7,1.8,16.2
9,Jose Alvarado\alvarjo01,PG,23,NOP,29,1,12.9,2.0,4.7,.434,0.6,1.9,.321,1.4,2.8,.513,.500,0.6,0.8,.696,0.3,1.1,1.4,2.0,1.0,0.1,0.4,1.3,5.2
10,Justin Anderson\anderju01,SF,28,TOT,6,0,12.8,1.0,3.2,.316,0.5,2.5,.200,0.5,0.7,.750,.395,1.0,1.2,.857,0.3,1.3,1.7,1.5,0.3,0.2,0.5,1.5,3.5
10,Justin Anderson\anderju01,SF,28,CLE,3,0,15.7,1.3,2.7,.500,0.7,2.0,.333,0.7,0.7,1.000,.625,1.0,1.3,.750,0.0,2.0,2.0,2.0,0.3,0.0,0.7,1.3,4.3
10,Justin Anderson\anderju01,SF,28,IND,3,0,10.0,0.7,3.7,.182,0.3,3.0,.111,0.3,0.7,.500,.227,1.0,1.0,1.000,0.7,0.7,1.3,1.0,0.3,0.3,0.3,1.7,2.7
11,Kyle Anderson\anderky01,PF,28,MEM,45,8,22.2,3.1,7.2,.435,0.6,1.7,.333,2.6,5.5,.467,.475,1.0,1.6,.653,1.0,4.4,5.4,2.7,1.1,0.6,1.0,1.6,7.9
12,Giannis Antetokounmpo\antetgi01,PF,27,MIL,47,47,32.5,9.9,18.3,.541,1.1,3.9,.298,8.8,14.5,.605,.572,8.0,11.1,.718,1.8,9.4,11.2,6.0,1.0,1.4,3.3,3.2,29.0
13,Thanasis Antetokounmpo\antetth01,SF,29,MIL,34,5,10.4,1.2,2.5,.477,0.0,0.3,.091,1.2,2.2,.533,.483,0.4,0.7,.625,0.9,1.4,2.3,0.6,0.4,0.3,0.6,1.7,2.9
