Rk,Player,Pos,Age,Tm,G,MP,PE_PG%,PE_SG%,PE_SF%,PE_PF%,PE_C%,+/-_OnCourt,+/-_On-Off,TO_BadPass,TO_LostBall,Shoot_Fl_Com,Off._Fl_Com,Shoot_Fl_Drn,Off._Fl_Drn,PGA,And1,Blkd
1,Precious Achiuwa\achiupr01,C,22,TOR,46,1071,,,,,100%,1.1,-1.4,11,15,39,11,38,3,130,8,35
2,Steven Adams\adamsst01,C,28,MEM,54,1397,,,,,100%,8.5,6.9,47,14,47,15,63,8,376,16,35
3,Bam Adebayo\adebaba01,C,24,MIA,32,1057,,,,3%,98%,5.9,1.5,34,28,40,25,99,2,275,25,29
4,Santi Aldama\aldamsa01,PF,21,MEM,27,277,,,3%,63%,34%,3.3,-1.8,4,1,11,4,11,1,40,4,3
5,LaMarcus Aldridge\aldrila01,C,36,BRK,36,825,,,,,100%,4.7,6.2,8,8,36,8,39,0,81,16,10
6,Nickeil Alexander-Walker\alexani01,SG,23,TOT,51,1318,12%,55%,33%,,,-5.3,-2.6,58,16,39,6,42,11,329,5,41
6,Nickeil Alexander-Walker\alexani01,SG,23,NOP,50,1317,12%,55%,33%,,,-5.3,-2.5,58,16,39,6,42,11,329,5,41
6,Nickeil Alexander-Walker\alexani01,SG,23,UTA,1,1,,,100%,,,-100.0,-106.7,0,0,0,0,0,0,0,0,0
7,Grayson Allen\allengr01,SG,26,MIL,47,1323,8%,81%,12%,,,6.6,5.9,18,4,32,3,24,8,171,5,21
8,Jarrett Allen\allenja01,C,23,CLE,49,1597,,,,,100%,5.4,2.8,31,33,52,11,104,14,207,30,32
9,Jose Alvarado\alvarjo01,PG,23,NOP,29,373,100%,,,,,8.4,14.4,9,3,15,0,8,7,130,2,8
10,Justin Anderson\anderju01,SF,28,TOT,6,77,,8%,81%,12%,,26.3,25.3,2,1,6,0,3,0,25,1,0
10,Justin Anderson\anderju01,SF,28,CLE,3,47,,6%,75%,19%,,35.7,32.1,1,1,3,0,1,0,17,0,0
10,Justin Anderson\anderju01,SF,28,IND,3,30,,10%,90%,,,11.5,14.7,1,0,3,0,2,0,8,1,0
11,Kyle Anderson\anderky01,PF,28,MEM,45,998,,,11%,62%,27%,2.3,-4.2,19,14,29,6,30,3,286,9,15
12,Giannis Antetokounmpo\antetgi01,PF,27,MIL,47,1528,,,,57%,43%,8.9,12.3,54,43,62,35,248,2,749,56,45
13,Thanasis Antetokounmpo\antetth01,SF,29,MIL,34,355,2%,30%,47%,21%,1%,-14.0,-20.1,5,5,27,3,11,6,46,2,11
14,Carmelo Anthony\anthoca01,PF,37,LAL,50,1327,,,,65%,35%,1.7,6.0,17,6,61,13,43,1,128,8,13
15,Cole Anthony\anthoco01,PG,21,ORL,44,1466,99%,1%,,,,-5.7,6.5,75,39,61,3,68,13,649,16,32
16,OG Anunoby\anunoog01,SF,24,TOR,40,1486,5%,29%,58%,8%,,3.2,2.7,32,23,49,11,40,5,264,8,42
17,Trevor Ariza\arizatr01,SF,36,LAL,19,366,,,39%,59%,2%,-2.6,-1.3,3,3,12,0,3,3,61,1,3
18,D.J. Augustin\augusdj01,PG,34,HOU,34,510,100%,,,,,-13.9,-5.4,33,8,8,1,9,1,181,2,5
19,Deni Avdija\avdijde01,SF,21,WAS,55,1266,,7%,61%,32%,,1.3,8.6,25,12,73,3,34,2,206,9,19
20,Joel Ayayi\ayayijo01,SG,21,WAS,7,20,20%,51%,29%,,,0.2,3.4,0,0,0,0,0,0,11,0,2
21,Deandre Ayton\aytonde01,C,23,PHO,35,1018,,,,,100%,7.4,-2.0,14,18,45,16,48,2,133,12,23
22,Udoka Azubuike\azubuud01,C,22,UTA,14,170,,,,,100%,-0.1,-7.2,2,2,12,5,5,0,0,3,2
23,Marvin Bagley III\baglema01,PF,22,SAC,30,656,,,,78%,22%,-2.9,2.0,4,4,32,7,24,5,45,9,21
24,LaMelo Ball\ballla01,PG,20,CHO,51,1654,96%,4%,,,,-0.4,0.8,96,29,54,13,63,13,901,14,36
25,Lonzo Ball\balllo01,PG,24,CHI,35,1212,82%,18%,,,,2.8,0.8,57,15,41,7,13,4,408,5,18
26,Mo Bamba\bambamo01,C,23,ORL,47,1235,,,,2%,98%,-11.8,-5.3,24,16,76,10,24,2,151,3,20
27,Desmond Bane\banede01,SF,23,MEM,54,1624,,53%,46%,1%,,4.9,-0.3,33,26,59,10,34,2,340,11,48
28,Dalano Banton\bantoda01,SF,22,TOR,45,535,3%,33%,54%,10%,1%,1.8,-0.3,17,11,20,10,14,1,178,2,14
29,Cat Barber\barbeca01,PG,27,ATL,3,13,100%,,,,,35.7,35.7,0,1,1,0,1,0,8,0,1
30,Harrison Barnes\barneha02,PF,29,SAC,53,1788,,,42%,58%,1%,-7.1,-7.3,37,32,29,11,139,12,320,36,37
31,Scottie Barnes\barnesc01,PF,20,TOR,47,1684,,,26%,65%,10%,1.5,-1.5,56,15,61,8,71,10,391,18,25
32,RJ Barrett\barrerj01,SF,21,NYK,48,1587,,1%,96%,4%,,-5.5,-10.5,50,30,50,7,111,11,298,21,64
33,Will Barton\bartowi01,SG,31,DEN,49,1595,,65%,34%,1%,,1.4,-1.4,49,31,41,8,38,6,463,6,37
34,Paris Bass\basspa01,SF,26,PHO,2,7,,,100%,,,12.5,3.9,1,1,1,0,1,0,0,0,2
35,Charles Bassey\bassech01,PF,21,PHI,22,161,,,,19%,81%,-10.1,-13.5,1,4,20,0,6,0,18,1,2
36,Keita Bates-Diop\bateske01,SF,26,SAS,43,708,,,17%,79%,4%,2.8,3.3,14,10,20,3,21,1,60,6,18
