Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P_FGA%,0-3ft_FGA%,3-10_FGA%,10-16ft_FGA%,16-3Pft_FGA%,3P_FGA%,,2P_FG%,0-3_FG%,3-10_FG%,10-16_FG%,16-3P_FG%,3P_FG%,,2P_FG_AST%,3P_FG_AST%,,%FGA_DUNK,#_DUNK,,%3PA,3P%,,Att._Heave,#_Heave
1,Precious Achiuwa\achiupr01,C,22,TOR,46,1071,.421,8.1,,.837,.401,.318,.086,.033,.163,,.447,.585,.327,.310,.273,.291,,.603,1.000,,.181,47,,.364,.250,,0,0
2,Steven Adams\adamsst01,C,28,MEM,54,1397,.541,2.7,,1.000,.700,.263,.037,.000,.000,,.541,.614,.366,.400,,,,.473,,,.126,29,,,,,0,0
3,Bam Adebayo\adebaba01,C,24,MIA,32,1057,.527,7.1,,.993,.401,.284,.217,.091,.007,,.531,.767,.352,.387,.385,.000,,.597,,,.170,67,,.000,,,1,0
4,Santi Aldama\aldamsa01,PF,21,MEM,27,277,.381,12.6,,.598,.330,.186,.072,.010,.402,,.569,.750,.333,.429,.000,.103,,.667,1.000,,.093,9,,.231,.333,,0,0
5,LaMarcus Aldridge\aldrila01,C,36,BRK,36,825,.555,12.4,,.898,.204,.172,.236,.287,.102,,.582,.724,.516,.545,.551,.316,,.764,1.000,,.035,13,,.316,.333,,0,0
6,Nickeil Alexander-Walker\alexani01,SG,23,TOT,51,1318,.375,15.6,,.517,.217,.166,.074,.060,.483,,.434,.584,.333,.362,.263,.311,,.408,.895,,.014,8,,.230,.371,,2,0
6,Nickeil Alexander-Walker\alexani01,SG,23,NOP,50,1317,.375,15.6,,.517,.217,.166,.074,.060,.483,,.434,.584,.333,.362,.263,.311,,.408,.895,,.014,8,,.230,.371,,2,0
6,Nickeil Alexander-Walker\alexani01,SG,23,UTA,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0
7,Grayson Allen\allengr01,SG,26,MIL,47,1323,.427,19.3,,.319,.151,.094,.056,.018,.681,,.500,.612,.429,.360,.375,.393,,.648,.908,,.022,7,,.257,.436,,0,0
8,Jarrett Allen\allenja01,C,23,CLE,49,1597,.665,3.8,,.979,.628,.292,.043,.016,.021,,.676,.800,.458,.429,.500,.100,,.708,.000,,.346,146,,.600,.000,,0,0
9,Jose Alvarado\alvarjo01,PG,23,NOP,29,373,.434,13.9,,.588,.250,.213,.096,.029,.412,,.513,.647,.414,.385,.500,.321,,.317,1.000,,.000,0,,.196,.455,,0,0
10,Justin Anderson\anderju01,SF,28,TOT,6,77,.316,21.5,,.211,.158,.000,.000,.053,.789,,.750,.667,,,1.000,.200,,1.000,.667,,.000,0,,.267,.000,,0,0
10,Justin Anderson\anderju01,SF,28,CLE,3,47,.500,22.0,,.250,.125,.000,.000,.125,.750,,1.000,1.000,,,1.000,.333,,1.000,1.000,,.000,0,,.333,.000,,0,0
10,Justin Anderson\anderju01,SF,28,IND,3,30,.182,21.1,,.182,.182,.000,.000,.000,.818,,.500,.500,,,,.111,,1.000,.000,,.000,0,,.222,.000,,0,0
11,Kyle Anderson\anderky01,PF,28,MEM,45,998,.435,10.9,,.759,.293,.265,.148,.052,.241,,.467,.621,.407,.354,.235,.333,,.478,.962,,.034,10,,.436,.441,,0,0
12,Giannis Antetokounmpo\antetgi01,PF,27,MIL,47,1528,.541,10.5,,.790,.379,.201,.131,.079,.210,,.605,.823,.416,.389,.397,.298,,.417,.370,,.139,113,,.022,.250,,1,0
13,Thanasis Antetokounmpo\antetth01,SF,29,MIL,34,355,.477,5.7,,.872,.605,.221,.047,.000,.128,,.533,.615,.368,.250,,.091,,.675,1.000,,.244,17,,.545,.167,,0,0
