,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Arena,Point Difference,Team v. Team,Winner
0,Tue Oct 19 2021,7:30p,Brooklyn Nets,104,Milwaukee Bucks,127,Fiserv Forum,23,Brooklyn Nets Vs Milwaukee Bucks,Milwaukee Bucks
1,Tue Oct 19 2021,10:00p,Golden State Warriors,121,Los Angeles Lakers,114,Crypto.com Arena,7,Golden State Warriors Vs Los Angeles Lakers,Golden State Warriors
2,Wed Oct 20 2021,7:00p,Indiana Pacers,122,Charlotte Hornets,123,Spectrum Center,1,Indiana Pacers Vs Charlotte Hornets,Charlotte Hornets
3,Wed Oct 20 2021,7:00p,Chicago Bulls,94,Detroit Pistons,88,Little Caesars Arena,6,Chicago Bulls Vs Detroit Pistons,Chicago Bulls
4,Wed Oct 20 2021,7:30p,Boston Celtics,134,New York Knicks,138,Madison Square Garden (IV),4,Boston Celtics Vs New York Knicks,New York Knicks
5,Wed Oct 20 2021,7:30p,Washington Wizards,98,Toronto Raptors,83,Scotiabank Arena,15,Washington Wizards Vs Toronto Raptors,Washington Wizards
6,Wed Oct 20 2021,8:00p,Cleveland Cavaliers,121,Memphis Grizzlies,132,FedEx Forum,11,Cleveland Cavaliers Vs Memphis Grizzlies,Memphis Grizzlies
7,Wed Oct 20 2021,8:00p,Houston Rockets,106,Minnesota Timberwolves,124,Target Center,18,Houston Rockets Vs Minnesota Timberwolves,Minnesota Timberwolves
8,Wed Oct 20 2021,8:00p,Philadelphia 76ers,117,New Orleans Pelicans,97,Smoothie King Center,20,Philadelphia 76ers Vs New Orleans Pelicans,Philadelphia 76ers
9,Wed Oct 20 2021,8:30p,Orlando Magic,97,San Antonio Spurs,123,AT&T Center,26,Orlando Magic Vs San Antonio Spurs,San Antonio Spurs
10,Wed Oct 20 2021,9:00p,Oklahoma City Thunder,86,Utah Jazz,107,Vivint Smart Home Arena,21,Oklahoma City Thunder Vs Utah Jazz,Utah Jazz
11,Wed Oct 20 2021,10:00p,Sacramento Kings,124,Portland Trail Blazers,121,Moda Center,3,Sacramento Kings Vs Portland Trail Blazers,Sacramento Kings
12,Wed Oct 20 2021,10:00p,Denver Nuggets,110,Phoenix Suns,98,Phoenix Suns Arena,12,Denver Nuggets Vs Phoenix Suns,Denver Nuggets
13,Thu Oct 21 2021,7:30p,Dallas Mavericks,87,Atlanta Hawks,113,State Farm Arena,26,Dallas Mavericks Vs Atlanta Hawks,Atlanta Hawks
14,Thu Oct 21 2021,8:00p,Milwaukee Bucks,95,Miami Heat,137,FTX Arena,42,Milwaukee Bucks Vs Miami Heat,Miami Heat
15,Thu Oct 21 2021,10:00p,Los Angeles Clippers,113,Golden State Warriors,115,Chase Center,2,Los Angeles Clippers Vs Golden State Warriors,Golden State Warriors
16,Fri Oct 22 2021,7:00p,New York Knicks,121,Orlando Magic,96,Amway Center,25,New York Knicks Vs Orlando Magic,New York Knicks
17,Fri Oct 22 2021,7:00p,Indiana Pacers,134,Washington Wizards,135,Capital One Arena,1,Indiana Pacers Vs Washington Wizards,Washington Wizards
