Rk,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
1,Phoenix Suns,W,P,60,14,.811,8.43,116.39,107.98,8.42,7.79,116.05,108.29,7.76
2,Boston Celtics,E,A,46,28,.622,6.66,114.31,107.27,7.04,6.20,113.95,107.38,6.57
3,Golden State Warriors,W,P,48,26,.649,5.78,113.38,107.50,5.88,5.70,113.31,107.53,5.78
4,Utah Jazz,W,NW,45,29,.608,5.93,117.46,111.39,6.07,5.58,117.29,111.59,5.70
5,Memphis Grizzlies,W,SW,52,23,.693,6.00,115.50,109.61,5.89,5.34,115.22,110.00,5.21
6,Miami Heat,E,SE,47,28,.627,3.89,114.02,109.98,4.04,3.68,113.84,110.02,3.82
7,Milwaukee Bucks,E,C,46,28,.622,3.69,115.56,111.91,3.64,3.42,115.43,112.04,3.39
8,Minnesota Timberwolves,W,NW,43,32,.573,3.52,114.91,111.49,3.41,3.43,115.04,111.72,3.31
9,Dallas Mavericks,W,SW,45,29,.608,2.42,112.25,109.64,2.61,2.41,112.26,109.67,2.59
10,Cleveland Cavaliers,E,C,41,33,.554,2.49,112.33,109.82,2.51,2.42,112.01,109.57,2.44
11,Philadelphia 76ers,E,A,46,27,.630,2.34,113.58,111.23,2.35,2.32,113.64,111.30,2.34
12,Denver Nuggets,W,NW,44,31,.587,2.45,114.73,112.28,2.46,2.34,114.84,112.51,2.33
13,Toronto Raptors,E,A,42,32,.568,2.00,113.86,111.77,2.09,2.05,113.78,111.64,2.14
14,Atlanta Hawks,E,SE,37,37,.500,0.72,116.41,115.68,0.73,0.87,116.65,115.75,0.90
15,Brooklyn Nets,E,A,39,35,.527,0.41,114.25,113.89,0.36,0.57,114.57,114.03,0.54
16,Charlotte Hornets,E,SE,38,36,.514,0.27,114.21,113.89,0.32,0.36,114.31,113.89,0.42
17,Chicago Bulls,E,C,43,31,.581,0.39,114.06,113.74,0.32,0.18,114.00,113.88,0.12
18,New York Knicks,E,A,32,42,.432,-0.53,111.28,111.78,-0.49,-0.26,111.23,111.45,-0.22
19,San Antonio Spurs,W,SW,30,44,.405,-0.39,112.59,113.09,-0.50,-0.37,112.74,113.21,-0.47
20,New Orleans Pelicans,W,SW,31,43,.419,-1.11,112.15,113.30,-1.15,-0.71,112.33,113.08,-0.75
21,Los Angeles Clippers,W,P,36,39,.480,-1.67,109.17,110.97,-1.80,-1.51,109.19,110.84,-1.65
22,Los Angeles Lakers,W,P,31,42,.425,-2.66,110.73,113.34,-2.61,-2.88,110.64,113.50,-2.85
23,Indiana Pacers,E,C,25,50,.333,-3.07,112.80,115.90,-3.10,-2.98,112.90,115.91,-3.00
24,Washington Wizards,E,SE,31,42,.425,-3.34,111.29,114.81,-3.52,-3.38,111.26,114.80,-3.54
25,Sacramento Kings,W,P,27,48,.360,-5.17,110.81,116.08,-5.27,-4.91,111.05,116.06,-5.01
26,Oklahoma City Thunder,W,NW,21,53,.284,-7.57,104.93,112.54,-7.61,-7.15,104.97,112.16,-7.20
27,Portland Trail Blazers,W,NW,27,47,.365,-7.53,109.60,117.31,-7.70,-7.07,109.84,117.09,-7.25
28,Detroit Pistons,E,C,20,54,.270,-7.91,106.31,114.21,-7.90,-7.54,106.36,113.88,-7.52
29,Orlando Magic,E,SE,20,55,.267,-7.76,105.14,112.88,-7.75,-7.54,104.95,112.48,-7.53
30,Houston Rockets,W,SW,20,55,.267,-8.61,108.69,117.31,-8.62,-8.27,109.06,117.34,-8.28
