Team,Points,Opponent,Location,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Opponent_MOV,Opponent_ORtg,Opponent_DRtg,Opponent_NRtg,Opponent_MOV/A,Opponent_ORtg/A,Opponent_DRtg/A,Opponent_NRtg/A
Milwaukee Bucks,127,Brooklyn Nets,Home,42.90000000000001,93.3,10.779,15.0,39.49999999999999,4.022,27.7,53.9,5.447,5.852,17.9,23.599999999999998,7.579,10.500000000000002,35.699999999999996,46.099999999999994,25.1,8.399999999999999,6.8,13.399999999999999,19.2,118.8,158.39999999999998,6.1049999999999995,4.786,2.8,59.400000000000006,151.5,106.49999999999999,140.60000000000002,16.9,28.3,126.39999999999998,205.60000000000002,17.5,11.100000000000001,57.4,1.2050000000000003,-4.699999999999998,1.6999999999999997,-6.1000000000000005,10.0,0.41,114.25,113.89,0.36,0.57,114.57,114.03,0.54
Los Angeles Lakers,114,Golden State Warriors,Home,48.8,98.99999999999999,11.799,12.2,33.900000000000006,3.8470000000000004,36.4,65.1,6.121,6.256999999999999,20.3,28.1,8.02,12.6,41.099999999999994,53.599999999999994,24.4,9.6,7.8999999999999995,15.500000000000002,20.9,129.8,197.5,6.522,3.8360000000000003,3.313,69.39999999999999,195.8,133.1,130.0,25.000000000000004,37.0,135.8,220.09999999999997,12.999999999999998,11.5,49.0,1.445,6.700000000000001,12.1,37.400000000000006,6.8999999999999995,5.78,113.38,107.5,5.88,5.7,113.31,107.53,5.78
Charlotte Hornets,123,Indiana Pacers,Home,42.599999999999994,91.99999999999999,12.565,13.700000000000001,38.00000000000001,3.7169999999999996,29.0,53.9,6.619999999999999,6.671000000000001,16.5,22.6,8.159,12.5,36.7,49.2,26.500000000000004,8.999999999999998,5.500000000000001,13.500000000000002,22.5,115.20000000000003,166.99999999999997,6.889999999999999,4.3100000000000005,3.428,64.2,179.89999999999998,120.4,156.3,18.099999999999998,26.2,162.0,217.19999999999996,15.299999999999999,9.100000000000001,48.6,0.9629999999999999,-18.5,-14.4,-65.8,5.300000000000001,-3.07,112.8,115.9,-3.1,-2.98,112.9,115.91,-3.0
Detroit Pistons,88,Chicago Bulls,Home,43.900000000000006,104.7,12.213000000000001,12.900000000000002,41.1,4.056,31.3,63.6,6.443,6.532000000000001,21.099999999999998,28.0,9.706,13.499999999999998,38.60000000000001,52.39999999999999,25.800000000000004,8.700000000000001,6.1,15.600000000000001,26.200000000000003,122.20000000000002,166.10000000000002,7.022,5.711,3.469,71.0,211.2,136.9,187.8,20.400000000000002,25.6,179.59999999999997,262.3,5.2,7.500000000000001,25.6,0.5060000000000001,-27.799999999999997,-10.4,-76.30000000000001,0.2,0.39,114.06,113.74,0.32,0.18,114.0,113.88,0.12
New York Knicks,138,Boston Celtics,Home,43.6,101.89999999999999,12.532,15.799999999999999,44.5,3.839,27.9,57.5,6.085,6.745,18.900000000000002,25.7,9.622,11.3,36.9,48.19999999999999,26.500000000000004,7.6000000000000005,4.8,14.199999999999998,20.2,122.29999999999998,171.29999999999998,7.115,5.385,3.9640000000000004,56.00000000000001,176.2,115.0,188.2,18.1,24.000000000000004,130.5,242.50000000000003,11.899999999999999,12.6,48.900000000000006,1.13,-10.7,-1.4000000000000004,-24.300000000000004,5.8,6.66,114.31,107.27,7.04,6.2,113.95,107.38,6.57
Toronto Raptors,83,Washington Wizards,Home,43.400000000000006,100.60000000000001,11.635,14.4,41.300000000000004,3.872,28.9,59.300000000000004,6.121,6.209,16.900000000000002,21.700000000000003,10.062,15.1,33.5,48.70000000000001,23.8,11.399999999999999,5.1,12.2,22.900000000000006,117.69999999999999,159.59999999999997,6.706,5.797,3.083,83.5,176.8,127.99999999999999,149.9,29.0,24.6,134.2,247.1,14.7,11.4,52.1,0.819,-37.0,-7.800000000000001,-89.7,6.1000000000000005,-3.34,111.29,114.81,-3.52,-3.38,111.26,114.8,-3.54
Memphis Grizzlies,132,Cleveland Cavaliers,Home,51.19999999999999,112.10000000000001,14.402999999999999,13.899999999999999,41.39999999999999,4.305000000000001,37.60000000000001,70.69999999999999,8.35,7.673,19.099999999999998,26.799999999999997,10.212,17.000000000000004,42.8,59.800000000000004,30.7,11.999999999999998,7.8,14.9,23.2,135.4,222.2,7.995000000000001,5.931,3.399,87.19999999999997,224.70000000000005,154.60000000000002,201.89999999999998,28.900000000000002,33.3,155.5,274.30000000000007,19.9,17.1,73.9,1.727,-4.2,4.1,-0.09999999999999742,11.1,2.49,112.33,109.82,2.51,2.42,112.01,109.57,2.44
Minnesota Timberwolves,124,Houston Rockets,Home,49.1,109.69999999999999,14.399000000000001,17.599999999999998,50.10000000000001,4.7299999999999995,31.6,59.59999999999999,8.106,7.763000000000001,19.5,25.099999999999998,10.610999999999999,13.799999999999999,38.29999999999999,51.89999999999999,31.6,10.7,6.800000000000001,16.8,25.799999999999997,135.0,201.0,8.242,6.8,3.437,68.2,193.5,128.6,220.60000000000002,24.900000000000002,30.099999999999998,205.70000000000005,268.2,17.200000000000003,12.799999999999999,60.2,1.324,-10.6,-3.3000000000000007,-27.800000000000004,7.9,-8.61,108.69,117.31,-8.62,-8.27,109.06,117.34,-8.28
New Orleans Pelicans,97,Philadelphia 76ers,Home,39.6,89.80000000000001,11.08,9.799999999999997,31.899999999999995,3.6910000000000003,29.599999999999994,57.99999999999999,5.891,5.869999999999999,19.000000000000004,23.5,9.568,13.900000000000002,33.5,47.5,25.8,7.7,4.3,13.699999999999998,20.599999999999998,107.7,166.5,6.355,5.382000000000001,3.137,101.1,184.20000000000002,141.7,204.59999999999997,20.1,19.3,145.0,247.89999999999998,11.000000000000002,8.1,38.4,0.7000000000000001,-15.100000000000001,-13.799999999999999,-57.99999999999999,3.4999999999999996,2.34,113.58,111.23,2.35,2.32,113.64,111.3,2.34
San Antonio Spurs,123,Orlando Magic,Home,42.3,90.0,11.084,10.700000000000001,29.299999999999997,4.1290000000000004,31.800000000000004,60.49999999999999,5.777000000000001,5.846,12.2,16.799999999999997,8.257,11.899999999999999,34.5,46.400000000000006,25.2,7.400000000000001,4.9,11.499999999999998,17.099999999999998,107.39999999999999,162.5,6.127000000000001,3.4590000000000005,2.329,62.5,164.39999999999998,112.89999999999999,155.49999999999997,15.000000000000002,21.0,128.9,207.3,12.200000000000001,10.3,45.099999999999994,1.028,-4.3999999999999995,-4.3999999999999995,-17.799999999999997,5.0,-7.76,105.14,112.88,-7.75,-7.54,104.95,112.48,-7.53
